"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr909","BRERC Notable Species records within the last 10 years","doi:10.15468/vntgox","Bristol Regional Environmental Records Centre ([Insert download year]). BRERC Notable Species records within the last 10 years. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) BRERC retains copyright. The data is provided via the NBN Atlas for non-commercial purposes.","For more information: email info@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dr909","","","","4"
"dp57","Bat Conservation Trust","","Records provided by Bat Conservation Trust, accessed through NBN Atlas website.","","For more information: email enquiries@bats.org.uk, or https://registry.nbnatlas.org/public/show/dp57","","","","1"
"dp56","Royal Horticultural Society","","Records provided by Royal Horticultural Society, accessed through NBN Atlas website.","","For more information: email membership@rhs.org.uk, or https://registry.nbnatlas.org/public/show/dp56","","","","88"
"dr2581","Nottinghamshire Wildlife Trust - Records","10.15468/p2vf4u","Data supplied by Nottinghamshire Wildlife Trust","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC BY-NC
      		Creative Commons Attribution Non-Commercial","For more information: email info@nottswt.co.uk, or https://registry.nbnatlas.org/public/show/dr2581","","","","1"
"dr2464","Leicestershire and Rutland Environmental Records Centre records 2000-2009","10.15468/cs2zzf","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2000-2009. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2464","","","","214"
"dr2465","Leicestershire and Rutland Environmental Records Centre records 2010-2014","10.15468/9n92x3","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2010-2014. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2465","","","","262"
"dr2463","Leicestershire and Rutland Environmental Records Centre records pre 2000","10.15468/res3cx","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records pre 2000. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2463","","","","557"
"dp200","Manx Wildlife Trust","","Records provided by Manx Wildlife Trust, accessed through NBN Atlas website.","","For more information: email enquiries@manxwt.org.uk, or https://registry.nbnatlas.org/public/show/dp200","","","","15"
"dr2466","Leicestershire and Rutland Environmental Records Centre records 2015-2019","10.15468/dues93","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2015-2019. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2466","","","","153"
"dr346","SNH Invertebrate Site Condition Monitoring 2013/14: North Rothiemurchus Pinewood SSSI","doi:10.15468/tl3n6y","Caledonian Conservation Ltd","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr346","","","","76"
"dr345","SNH Invertebrate Site Condition Monitoring 2013/14: Eastern Cairngorms SSSI","doi:10.15468/pazrpw","Caledonian Conservation Ltd","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr345","","","","66"
"dp162","Fife Nature Records Centre","","Records provided by Fife Nature Records Centre, accessed through NBN Atlas website.","","For more information: email nature.info@fife.gov.uk, or https://registry.nbnatlas.org/public/show/dp162","","","","30"
"dr341","SNH Invertebrate Site Condition Monitoring 2013/14: Abernethy Forest SSSI","doi:10.15468/1fb0a1","Caledonian Conservation Ltd","Open Government Licence (OGL) OGL","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr341","","","","160"
"dr505","Riparia","doi:10.15468/wunv9t","© Natural England copyright. Contains Ordnance Survey data © Crown copyright and database right [year]","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr505","","","","3"
"dp208","Woodmeadow Trust","","Records provided by Woodmeadow Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp208","","","","100"
"dr1935","NRW Regional Data: South East Wales Non-sensitive species","10.15468/g7xxs8","SEWBReC ([Insert download year]). NRW Regional Data: South East Wales Non-sensitive species. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr1935","","","","1"
